Team,FG%,3P%,2P%,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS
San Antonio Spurs,0.451,0.35,0.498,0.751,9.2,33,42.2,21.3,7.8,3.7,13.8,98.9
Memphis Grizzlies,0.454,0.368,0.5,0.771,9.7,32.4,42.1,21.3,7.7,5.3,14.6,103.3
Detroit Pistons,0.461,0.37,0.511,0.788,9,34.2,43.2,24.7,7.1,5.1,15,103.6
Toronto Raptors,0.448,0.35,0.488,0.771,10.1,32.7,42.8,22,7,5,15.2,103.7
Philadelphia 76ers,0.436,0.337,0.486,0.761,10,31.8,41.9,21,8.8,5.3,14.3,105.7
Milwaukee Bucks,0.464,0.365,0.512,0.782,9.3,32.7,42,23.1,7,4.2,15.4,104.9
Utah Jazz,0.459,0.369,0.502,0.773,8.6,33.6,42.2,20.4,8.2,4.6,15,101.5
Boston Celtics,0.435,0.339,0.479,0.768,9.9,34.4,44.3,20.5,6.9,4.4,14.1,99.8
Miami Heat,0.451,0.354,0.495,0.787,8.7,33.5,42.2,20.2,7.5,4.8,13.5,101.6
Houston Rockets,0.466,0.363,0.519,0.756,8.2,33.2,41.4,23,7.3,4.7,14.6,105.3
Indiana Pacers,0.466,0.347,0.533,0.74,10.3,32.6,42.8,23,7,5,15.1,105.3
Portland Trail Blazers,0.447,0.368,0.483,0.761,9.6,33.4,43,20.3,7.5,5.1,12.8,103.6
Washington Wizards,0.458,0.341,0.521,0.763,10.2,32.9,43.1,21.7,7.5,4.5,15.1,105.8
Los Angeles Clippers,0.454,0.354,0.506,0.778,10.6,33.5,44.2,23.9,8.3,5.3,14.7,107.7
Dallas Mavericks,0.469,0.367,0.525,0.759,8.7,36.5,45.2,23.1,7.4,4.5,14.1,104.7
Charlotte Hornets,0.463,0.37,0.513,0.806,8,35.2,43.2,24.1,6.5,5.1,13.9,106.4
Sacramento Kings,0.475,0.384,0.532,0.765,9.3,34.3,43.7,24.3,8,4.6,14.7,106.9
Oklahoma City Thunder,0.458,0.364,0.513,0.76,9.3,32.3,41.6,23.2,7.5,4.6,16,103.4
Denver Nuggets,0.479,0.37,0.534,0.741,9.2,31.7,40.9,24.5,8.1,5,14.2,107
Cleveland Cavaliers,0.473,0.367,0.534,0.742,10.2,34.1,44.2,25.9,7.7,4.1,13.7,109.6
Golden State Warriors,0.441,0.354,0.481,0.759,11.1,30.9,42,23,9,3.6,14.3,107.6
New Orleans Pelicans,0.459,0.364,0.509,0.79,10.5,34.6,45.1,24.3,8.4,4.1,14.7,111.4
Chicago Bulls,0.469,0.367,0.526,0.78,8.3,37.5,45.8,25.3,7,4.8,12.9,109.6
Atlanta Hawks,0.471,0.375,0.524,0.765,10.5,33.1,43.6,25.8,8.6,5.3,15.8,107.9
Orlando Magic,0.474,0.363,0.522,0.781,10.7,34.6,45.4,24.5,7.8,5,14.1,110
Los Angeles Lakers,0.457,0.352,0.51,0.768,10.4,34.7,45.1,23.3,8,5.7,14.8,110
New York Knicks,0.454,0.365,0.503,0.766,9.9,32.3,42.1,23.4,8.3,4.8,13.7,106.5
Brooklyn Nets,0.463,0.366,0.501,0.767,10.2,36.2,46.4,21.2,7.6,5.8,12.4,109.7
Minnesota Timberwolves,0.478,0.367,0.539,0.78,9.8,31.7,41.5,24,6.3,4.6,15.5,107
Phoenix Suns,0.472,0.367,0.522,0.768,10.3,35.2,45.5,22.6,8.6,5.6,13.3,113
