Team,FG%,3P%,2P%,FTA,FT%,ORB,DRB,AST,STL,BLK,TOV,PTS
Utah Jazz*,0.449,0.365,0.488,20.5,0.771,8.7,33,20,8.3,4.6,14.9,99.8
San Antonio Spurs*,0.453,0.348,0.501,18.9,0.759,9.2,33.3,21.8,7.6,3.9,14.1,99.8
Boston Celtics*,0.44,0.339,0.488,21.3,0.763,9.6,34.2,21.3,7.2,4.4,14.1,100.4
Miami Heat*,0.45,0.36,0.491,23,0.783,9.1,34,21,7.5,4.6,14.1,102.9
Portland Trail Blazers*,0.447,0.364,0.484,22,0.755,9.3,33.6,20.2,7.3,5.1,12.6,103
Houston Rockets*,0.462,0.351,0.519,19.6,0.746,8.7,33.4,22.4,7.4,4.4,14.6,103.9
Toronto Raptors*,0.449,0.357,0.486,23.7,0.767,9.8,32.6,21.8,7.2,4.9,14.3,103.9
Detroit Pistons,0.459,0.359,0.515,18.9,0.775,9.2,34.5,25.2,7.3,4.9,14.8,103.9
Indiana Pacers*,0.465,0.349,0.53,19.5,0.757,10.2,32.8,23.2,7,5.2,15.5,104.2
Oklahoma City Thunder*,0.458,0.367,0.511,21.1,0.769,9.5,32.6,23.3,7.7,4.6,16,104.4
Philadelphia 76ers*,0.434,0.342,0.482,25.6,0.745,10,32.2,21.7,8.5,5.1,14.3,105.3
Dallas Mavericks,0.469,0.363,0.526,21.4,0.756,8.8,36.9,23.5,7.2,4.5,13.7,105.4
Memphis Grizzlies,0.462,0.368,0.516,26.8,0.769,9.5,33,22.1,8.1,5.1,14.8,105.5
Sacramento Kings,0.47,0.377,0.527,21.5,0.765,9.1,34.7,23.6,7.8,4.7,14.3,105.8
Washington Wizards*,0.462,0.349,0.522,23.5,0.761,9.8,32.7,22.3,7.8,4.7,14.9,106
Milwaukee Bucks*,0.468,0.372,0.513,23.5,0.783,10,32.8,23.6,7.1,4.5,15.6,106.8
Minnesota Timberwolves*,0.475,0.366,0.534,20.5,0.779,9.8,32,23.9,6.5,4.7,15.1,107.3
Golden State Warriors*,0.447,0.357,0.49,22,0.758,10.9,31.6,23.6,8.7,3.7,14.3,107.5
Charlotte Hornets,0.468,0.375,0.516,18.2,0.795,8.4,35.3,24.7,6.6,4.9,13.6,108
New York Knicks,0.457,0.368,0.505,23.2,0.774,10.2,32.9,24,8.2,4.7,13.4,108
Orlando Magic,0.467,0.362,0.516,21.2,0.773,10.6,35.3,24.4,7.8,4.9,14.2,108.2
Denver Nuggets,0.476,0.378,0.525,20.4,0.738,9.8,31.9,24.7,8,4.8,13.8,108.5
Atlanta Hawks,0.469,0.377,0.52,20.6,0.771,10.3,34,26,8.7,5.5,15.1,108.8
Los Angeles Clippers,0.458,0.356,0.512,22.7,0.782,10.6,33,24.6,8.5,5.6,14.1,109
Los Angeles Lakers,0.456,0.346,0.512,22.5,0.761,10.2,34.6,23.6,8.3,5.5,14.3,109.6
Cleveland Cavaliers*,0.474,0.368,0.533,19.4,0.756,9.9,33.7,25.9,7.5,4.1,13.5,109.9
Chicago Bulls,0.472,0.37,0.534,20.2,0.787,8.4,37.2,25.9,7.2,5.2,13.6,110
Brooklyn Nets,0.466,0.369,0.503,23.4,0.766,10.4,36.4,21.7,7.7,5.5,12.4,110.3
New Orleans Pelicans*,0.454,0.355,0.503,20.5,0.784,10.8,34.7,23.7,8.2,4.2,14.5,110.4
Phoenix Suns,0.471,0.373,0.519,24.6,0.766,10.4,35.4,23.3,8.7,6,13.4,113.3
