Team,FG%,3P%,2P%,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS
Golden State Warriors,0.511,0.396,0.574,0.81,8.6,35.7,44.3,30.6,8.1,7.9,15.9,116.1
Minnesota Timberwolves,0.479,0.355,0.523,0.801,10.5,31.4,41.9,22.8,8.6,4.3,12.5,109.8
Houston Rockets,0.463,0.366,0.562,0.789,9.1,34.6,43.7,21.9,8.6,4.7,13.9,114.2
Toronto Raptors,0.471,0.355,0.538,0.803,9.7,33.8,43.5,23.4,8.2,6,13.2,112
Oklahoma City Thunder,0.451,0.35,0.504,0.706,12.5,32.3,44.9,21.2,9.1,5,13.9,106.2
New Orleans Pelicans,0.482,0.364,0.542,0.761,8.6,35.1,43.7,26.4,7.8,5.5,15.4,111.5
Cleveland Cavaliers,0.475,0.367,0.544,0.79,8.1,33.6,41.7,23.6,7.1,3.9,14.2,110.1
Denver Nuggets,0.466,0.366,0.521,0.759,11.3,33.2,44.5,24.5,7.7,4.6,15.2,108.1
Los Angeles Lakers,0.459,0.337,0.515,0.697,11.2,35.2,46.4,23.7,8,4.8,15.9,107.6
Phoenix Suns,0.44,0.333,0.491,0.749,10.7,33.4,44,21,6.7,4.5,15.6,104.1
New York Knicks,0.463,0.351,0.502,0.793,10.5,33.8,44.3,22.8,6.8,5.4,15.1,104.1
Washington Wizards,0.468,0.369,0.512,0.772,9.8,33,42.8,24.4,8.1,4.4,14.3,107.4
Boston Celtics,0.447,0.372,0.491,0.767,9.2,35.1,44.3,22.1,7.2,4.7,13.8,103.5
Brooklyn Nets,0.435,0.346,0.495,0.77,10.1,35,45.1,22.7,6.1,4.2,15.3,105.2
Indiana Pacers,0.48,0.372,0.524,0.773,9.2,32.9,42.1,22.5,8.4,4.2,13.3,106.9
Los Angeles Clippers,0.466,0.354,0.523,0.758,9.9,33.9,43.8,22.3,7.8,4.8,14.8,108.6
Portland Trail Blazers,0.452,0.376,0.487,0.802,9.8,35.1,44.9,19,6.9,5.1,13.9,104.9
Charlotte Hornets,0.443,0.366,0.478,0.739,10.3,35.4,45.7,21.1,6.9,4.6,12.7,106.4
Orlando Magic,0.461,0.358,0.514,0.763,8.9,32.4,41.3,23.4,7.4,4.8,14.6,105.7
Atlanta Hawks,0.45,0.363,0.497,0.793,9.4,31.5,40.9,23.7,7.9,4.4,15.4,103.5
Utah Jazz,0.457,0.373,0.502,0.797,8.7,33.5,42.2,21.4,8.8,4.8,14.3,103
Philadelphia 76ers,0.467,0.362,0.521,0.761,10.9,35.9,46.8,25.7,8.2,4.9,17.3,107.8
Dallas Mavericks,0.445,0.361,0.497,0.769,7.7,32.8,40.5,22.5,7.1,3.9,12.4,101.9
San Antonio Spurs,0.459,0.357,0.501,0.774,10.2,34.1,44.3,22.9,7.3,5.5,13.6,101.9
Chicago Bulls,0.438,0.358,0.481,0.766,9.2,35.6,44.7,23.6,7,3.8,13.7,103.5
Milwaukee Bucks,0.478,0.352,0.533,0.773,8,31.4,39.5,22.5,8.4,5.3,13.8,104.9
Miami Heat,0.453,0.359,0.507,0.754,9,34,43,22,7.2,5.2,14.8,101.1
Detroit Pistons,0.45,0.373,0.488,0.749,9.9,33,42.9,22.7,7.5,3.8,13.6,103.3
Sacramento Kings,0.453,0.385,0.479,0.722,9.5,31,40.5,21.4,8.2,4,14.2,99
Memphis Grizzlies,0.444,0.349,0.489,0.798,9.2,31.3,40.5,21,7.4,5.1,14.9,98.8
